2024-08-01 09:11:49.464 [info] Log level: Info
2024-08-01 09:11:49.464 [info] Validating found git in: "git"
2024-08-01 09:11:49.464 [info] Using git "2.34.1" from "git"
2024-08-01 09:11:49.464 [info] > git rev-parse --show-toplevel [86ms]
2024-08-01 09:11:49.476 [info] > git rev-parse --show-toplevel [14ms]
2024-08-01 09:11:49.576 [info] > git rev-parse --show-toplevel [70ms]
2024-08-01 09:11:49.636 [info] > git rev-parse --show-toplevel [13ms]
2024-08-01 09:11:49.661 [info] > git rev-parse --show-toplevel [0ms]
2024-08-01 09:11:49.699 [info] > git rev-parse --show-toplevel [31ms]
2024-08-01 09:11:49.718 [info] > git rev-parse --show-toplevel [3ms]
2024-08-01 09:11:49.758 [info] > git rev-parse --show-toplevel [3ms]
2024-08-01 09:11:49.785 [info] > git rev-parse --show-toplevel [1ms]
2024-08-01 09:11:49.882 [info] > git rev-parse --show-toplevel [70ms]
2024-08-01 09:11:49.904 [info] > git rev-parse --show-toplevel [3ms]
2024-08-01 09:11:49.930 [info] > git rev-parse --show-toplevel [1ms]
2024-08-01 09:11:49.956 [info] > git rev-parse --show-toplevel [2ms]
2024-08-01 09:11:49.996 [info] > git rev-parse --show-toplevel [0ms]
2024-08-01 09:11:50.024 [info] > git rev-parse --show-toplevel [1ms]
2024-08-01 09:11:50.095 [info] > git rev-parse --show-toplevel [16ms]
2024-08-01 09:11:50.614 [info] > git rev-parse --show-toplevel [3ms]
2024-08-01 09:25:34.130 [info] > git rev-parse --show-toplevel [4ms]
2024-08-01 09:26:05.465 [info] > git rev-parse --show-toplevel [6ms]
2024-08-01 09:28:41.369 [info] > git rev-parse --show-toplevel [7ms]
2024-08-01 09:28:45.749 [info] > git rev-parse --show-toplevel [7ms]
2024-08-01 09:29:24.208 [info] > git rev-parse --show-toplevel [5ms]
2024-08-01 09:29:31.691 [info] > git rev-parse --show-toplevel [9ms]
2024-08-01 09:33:44.806 [info] > git rev-parse --show-toplevel [6ms]
2024-08-01 09:33:51.125 [info] > git rev-parse --show-toplevel [7ms]
2024-08-01 09:34:21.446 [info] > git rev-parse --show-toplevel [3ms]
2024-08-01 09:34:27.654 [info] > git rev-parse --show-toplevel [7ms]
2024-08-01 09:34:29.927 [info] > git rev-parse --show-toplevel [9ms]
2024-08-01 09:34:37.898 [info] > git rev-parse --show-toplevel [4ms]
2024-08-01 09:34:41.980 [info] > git rev-parse --show-toplevel [13ms]
2024-08-01 09:34:45.705 [info] > git rev-parse --show-toplevel [14ms]
2024-08-01 09:34:52.453 [info] > git rev-parse --show-toplevel [5ms]
2024-08-01 09:35:01.299 [info] > git rev-parse --show-toplevel [5ms]
2024-08-01 09:35:04.320 [info] > git rev-parse --show-toplevel [12ms]
2024-08-01 09:35:05.813 [info] > git rev-parse --show-toplevel [3ms]
2024-08-01 09:35:12.151 [info] > git rev-parse --show-toplevel [10ms]
2024-08-01 09:36:17.680 [info] > git rev-parse --show-toplevel [7ms]
2024-08-01 09:39:09.975 [info] > git rev-parse --show-toplevel [11ms]
2024-08-01 09:39:33.973 [info] > git rev-parse --show-toplevel [7ms]
2024-08-01 09:39:58.192 [info] > git rev-parse --show-toplevel [9ms]
2024-08-01 09:39:59.067 [info] > git rev-parse --show-toplevel [6ms]
2024-08-01 09:39:59.469 [info] > git rev-parse --show-toplevel [21ms]
2024-08-01 09:49:32.670 [info] > git rev-parse --show-toplevel [2ms]
2024-08-01 09:49:35.104 [info] > git rev-parse --show-toplevel [2ms]
2024-08-01 09:49:57.288 [info] > git rev-parse --show-toplevel [7ms]
2024-08-01 09:50:03.288 [info] > git rev-parse --show-toplevel [7ms]
2024-08-01 09:50:08.325 [info] > git rev-parse --show-toplevel [13ms]
2024-08-01 09:50:10.038 [info] > git rev-parse --show-toplevel [11ms]
2024-08-01 09:50:11.851 [info] > git rev-parse --show-toplevel [3ms]
2024-08-01 09:50:13.052 [info] > git rev-parse --show-toplevel [22ms]
2024-08-01 09:50:15.124 [info] > git rev-parse --show-toplevel [3ms]
2024-08-01 09:50:18.506 [info] > git rev-parse --show-toplevel [6ms]
2024-08-01 09:50:40.385 [info] > git rev-parse --show-toplevel [2ms]
2024-08-01 09:50:43.235 [info] > git rev-parse --show-toplevel [4ms]
2024-08-01 09:50:48.298 [info] > git rev-parse --show-toplevel [2ms]
2024-08-01 09:50:54.535 [info] > git rev-parse --show-toplevel [11ms]
2024-08-01 09:50:56.824 [info] > git rev-parse --show-toplevel [4ms]
2024-08-01 09:51:08.548 [info] > git rev-parse --show-toplevel [9ms]
2024-08-01 09:51:14.011 [info] > git rev-parse --show-toplevel [5ms]
2024-08-01 09:51:17.917 [info] > git rev-parse --show-toplevel [5ms]
2024-08-01 09:51:28.110 [info] > git rev-parse --show-toplevel [4ms]
2024-08-01 09:51:33.509 [info] > git rev-parse --show-toplevel [20ms]
2024-08-01 09:51:37.879 [info] > git rev-parse --show-toplevel [13ms]
2024-08-01 09:51:41.671 [info] > git rev-parse --show-toplevel [7ms]
2024-08-01 09:51:46.870 [info] > git rev-parse --show-toplevel [2ms]
2024-08-01 09:51:52.346 [info] > git rev-parse --show-toplevel [5ms]
2024-08-01 09:51:55.771 [info] > git rev-parse --show-toplevel [6ms]
2024-08-01 09:51:59.327 [info] > git rev-parse --show-toplevel [15ms]
2024-08-01 09:52:06.706 [info] > git rev-parse --show-toplevel [11ms]
2024-08-01 09:52:09.385 [info] > git rev-parse --show-toplevel [6ms]
2024-08-01 09:52:14.436 [info] > git rev-parse --show-toplevel [4ms]
2024-08-01 09:52:17.868 [info] > git rev-parse --show-toplevel [6ms]
2024-08-01 09:52:21.969 [info] > git rev-parse --show-toplevel [3ms]
2024-08-01 09:52:24.259 [info] > git rev-parse --show-toplevel [17ms]
2024-08-01 09:52:27.451 [info] > git rev-parse --show-toplevel [6ms]
2024-08-01 09:52:30.530 [info] > git rev-parse --show-toplevel [9ms]
2024-08-01 09:52:33.930 [info] > git rev-parse --show-toplevel [3ms]
2024-08-01 09:52:37.955 [info] > git rev-parse --show-toplevel [7ms]
2024-08-01 09:52:40.705 [info] > git rev-parse --show-toplevel [7ms]
2024-08-01 09:53:10.855 [info] > git rev-parse --show-toplevel [6ms]
2024-08-01 09:53:15.335 [info] > git rev-parse --show-toplevel [5ms]
2024-08-01 09:53:18.890 [info] > git rev-parse --show-toplevel [6ms]
2024-08-01 09:53:23.362 [info] > git rev-parse --show-toplevel [4ms]
2024-08-01 09:54:01.675 [info] > git rev-parse --show-toplevel [7ms]
2024-08-01 09:54:05.569 [info] > git rev-parse --show-toplevel [3ms]
2024-08-01 09:54:07.670 [info] > git rev-parse --show-toplevel [4ms]
2024-08-01 09:54:12.563 [info] > git rev-parse --show-toplevel [6ms]
2024-08-01 09:54:21.771 [info] > git rev-parse --show-toplevel [5ms]
2024-08-01 09:54:25.618 [info] > git rev-parse --show-toplevel [7ms]
2024-08-01 09:54:38.426 [info] > git rev-parse --show-toplevel [24ms]
2024-08-01 09:54:48.375 [info] > git rev-parse --show-toplevel [3ms]
2024-08-01 09:55:37.473 [info] > git rev-parse --show-toplevel [12ms]
2024-08-01 09:55:39.842 [info] > git rev-parse --show-toplevel [3ms]
2024-08-01 09:55:43.110 [info] > git rev-parse --show-toplevel [9ms]
2024-08-01 09:55:45.945 [info] > git rev-parse --show-toplevel [8ms]
2024-08-01 09:55:47.126 [info] > git rev-parse --show-toplevel [9ms]
2024-08-01 09:55:48.868 [info] > git rev-parse --show-toplevel [3ms]
2024-08-01 09:55:51.853 [info] > git rev-parse --show-toplevel [7ms]
2024-08-01 09:55:54.556 [info] > git rev-parse --show-toplevel [5ms]
2024-08-01 09:56:24.140 [info] > git rev-parse --show-toplevel [4ms]
2024-08-01 09:56:29.601 [info] > git rev-parse --show-toplevel [6ms]
2024-08-01 09:56:41.815 [info] > git rev-parse --show-toplevel [5ms]
2024-08-01 09:56:52.600 [info] > git rev-parse --show-toplevel [6ms]
2024-08-01 09:57:15.628 [info] > git rev-parse --show-toplevel [5ms]
2024-08-01 09:57:21.714 [info] > git rev-parse --show-toplevel [2ms]
2024-08-01 09:57:32.592 [info] > git rev-parse --show-toplevel [7ms]
2024-08-01 09:57:39.346 [info] > git rev-parse --show-toplevel [2ms]
2024-08-01 09:59:28.769 [info] > git rev-parse --show-toplevel [6ms]
2024-08-01 09:59:40.647 [info] > git rev-parse --show-toplevel [3ms]
2024-08-01 09:59:46.416 [info] > git rev-parse --show-toplevel [9ms]
2024-08-01 09:59:50.534 [info] > git rev-parse --show-toplevel [1ms]
2024-08-01 09:59:54.603 [info] > git rev-parse --show-toplevel [6ms]
2024-08-01 09:59:59.020 [info] > git rev-parse --show-toplevel [2ms]
2024-08-01 10:00:00.313 [info] > git rev-parse --show-toplevel [6ms]
2024-08-01 10:00:02.988 [info] > git rev-parse --show-toplevel [4ms]
2024-08-01 10:03:45.234 [info] > git rev-parse --show-toplevel [1ms]
2024-08-01 10:04:56.805 [info] > git rev-parse --show-toplevel [2ms]
2024-08-01 10:05:16.766 [info] > git rev-parse --show-toplevel [6ms]
2024-08-01 10:05:24.032 [info] > git rev-parse --show-toplevel [2ms]
2024-08-01 10:05:25.853 [info] > git rev-parse --show-toplevel [2ms]
2024-08-01 10:05:29.865 [info] > git rev-parse --show-toplevel [2ms]
2024-08-01 10:05:34.025 [info] > git rev-parse --show-toplevel [1ms]
2024-08-01 10:06:38.467 [info] > git rev-parse --show-toplevel [3ms]
2024-08-01 10:07:58.332 [info] > git rev-parse --show-toplevel [12ms]
2024-08-01 10:09:47.914 [info] > git rev-parse --show-toplevel [2ms]
2024-08-01 10:09:48.209 [info] > git rev-parse --show-toplevel [2ms]
2024-08-01 10:09:48.569 [info] > git rev-parse --show-toplevel [5ms]
2024-08-01 10:09:49.025 [info] > git rev-parse --show-toplevel [11ms]
2024-08-01 10:10:32.352 [info] > git rev-parse --show-toplevel [5ms]
2024-08-01 10:10:39.960 [info] > git rev-parse --show-toplevel [3ms]
2024-08-01 10:10:53.293 [info] > git rev-parse --show-toplevel [3ms]
2024-08-01 10:11:06.053 [info] > git rev-parse --show-toplevel [14ms]
2024-08-01 10:11:15.861 [info] > git rev-parse --show-toplevel [9ms]
2024-08-01 10:18:39.332 [info] > git rev-parse --show-toplevel [4ms]
2024-08-01 10:18:57.142 [info] > git rev-parse --show-toplevel [4ms]
2024-08-01 10:19:49.482 [info] > git rev-parse --show-toplevel [2ms]
2024-08-01 10:22:12.119 [info] > git rev-parse --show-toplevel [6ms]
2024-08-01 10:22:12.397 [info] > git rev-parse --show-toplevel [2ms]
2024-08-01 10:22:27.091 [info] > git rev-parse --show-toplevel [1ms]
2024-08-01 10:23:13.167 [info] > git rev-parse --show-toplevel [6ms]
2024-08-01 10:23:40.228 [info] > git rev-parse --show-toplevel [3ms]
2024-08-01 10:24:23.623 [info] > git rev-parse --show-toplevel [2ms]
2024-08-01 10:24:30.417 [info] > git rev-parse --show-toplevel [5ms]
2024-08-01 10:24:37.191 [info] > git rev-parse --show-toplevel [4ms]
2024-08-01 10:24:40.220 [info] > git rev-parse --show-toplevel [2ms]
2024-08-01 10:24:40.231 [info] > git rev-parse --show-toplevel [1ms]
2024-08-01 10:24:40.240 [info] > git rev-parse --show-toplevel [2ms]
2024-08-01 10:25:15.995 [info] > git rev-parse --show-toplevel [2ms]
2024-08-01 10:25:16.019 [info] > git rev-parse --show-toplevel [2ms]
2024-08-01 10:25:16.028 [info] > git rev-parse --show-toplevel [2ms]
2024-08-01 10:25:18.044 [info] > git rev-parse --show-toplevel [6ms]
2024-08-01 10:25:18.086 [info] > git rev-parse --show-toplevel [12ms]
2024-08-01 10:25:18.100 [info] > git rev-parse --show-toplevel [2ms]
2024-08-01 10:36:37.855 [info] > git rev-parse --show-toplevel [1ms]
2024-08-01 10:36:37.874 [info] > git rev-parse --show-toplevel [4ms]
2024-08-01 10:36:37.891 [info] > git rev-parse --show-toplevel [1ms]
2024-08-01 10:44:37.479 [info] > git rev-parse --show-toplevel [3ms]
2024-08-01 10:45:11.690 [info] > git rev-parse --show-toplevel [6ms]
2024-08-01 10:45:15.292 [info] > git rev-parse --show-toplevel [20ms]
2024-08-01 10:45:27.776 [info] > git rev-parse --show-toplevel [14ms]
2024-08-01 10:46:43.518 [info] > git rev-parse --show-toplevel [3ms]
2024-08-01 10:46:45.044 [info] > git rev-parse --show-toplevel [4ms]
2024-08-01 10:46:46.335 [info] > git rev-parse --show-toplevel [3ms]
2024-08-01 10:47:45.290 [info] > git rev-parse --show-toplevel [6ms]
2024-08-01 10:48:18.877 [info] > git rev-parse --show-toplevel [3ms]
2024-08-01 10:48:36.284 [info] > git rev-parse --show-toplevel [4ms]
2024-08-01 10:48:39.058 [info] > git rev-parse --show-toplevel [4ms]
2024-08-01 10:48:39.469 [info] > git rev-parse --show-toplevel [6ms]
2024-08-01 10:49:23.763 [info] > git rev-parse --show-toplevel [4ms]
2024-08-01 10:49:27.768 [info] > git rev-parse --show-toplevel [8ms]
2024-08-01 10:50:20.641 [info] > git rev-parse --show-toplevel [4ms]
2024-08-01 10:50:38.529 [info] > git rev-parse --show-toplevel [6ms]
2024-08-01 10:50:41.617 [info] > git rev-parse --show-toplevel [10ms]
2024-08-01 10:50:44.303 [info] > git rev-parse --show-toplevel [6ms]
2024-08-01 10:56:09.897 [info] > git rev-parse --show-toplevel [6ms]
2024-08-01 11:01:59.495 [info] > git rev-parse --show-toplevel [5ms]
2024-08-01 11:02:04.954 [info] > git rev-parse --show-toplevel [8ms]
2024-08-01 11:10:55.830 [info] > git rev-parse --show-toplevel [5ms]
2024-08-01 11:11:50.875 [info] > git rev-parse --show-toplevel [8ms]
2024-08-01 11:12:25.032 [info] > git rev-parse --show-toplevel [4ms]
2024-08-01 11:13:18.488 [info] > git rev-parse --show-toplevel [3ms]
2024-08-01 11:14:38.638 [info] > git rev-parse --show-toplevel [4ms]
2024-08-01 11:14:51.429 [info] > git rev-parse --show-toplevel [5ms]
2024-08-01 11:19:50.532 [info] > git rev-parse --show-toplevel [4ms]
2024-08-01 11:20:23.108 [info] > git rev-parse --show-toplevel [5ms]
2024-08-01 11:20:32.686 [info] > git rev-parse --show-toplevel [5ms]
